Distance,Source System,L-Pad,M-pad,P-pad,Fed,Imp,All,Ind,Target/Sources,RES/rings,URL 
233.51,Savantzil,5,9,5,2,,,5,HIP 14532 / 2,No rings,https://edtools.cc/pve?s=HIP+14532&a=rt
234.04,HIP 15062,,"1,163","1,152",3,,,4,Balante / 2,No rings,https://edtools.cc/pve?s=Balante&a=rt
234.04,Hyades Sector JM-V c2-5,,,"4,137",,,,4,Woyeru / 2,3 rings,https://edtools.cc/pve?s=Woyeru&a=rt
234.37,Diaguandri,526,,450,2,,,5,Balante / 2,No rings,https://edtools.cc/pve?s=Balante&a=rt
234.51,HIP 23575,"2,636","290,853","2,006",,,,7,HR 1613 / 3,9 rings,https://edtools.cc/pve?s=HR+1613&a=rt
234.83,Bhisma,,"133,674",,2,,,5,HR 1613 / 3,9 rings,https://edtools.cc/pve?s=HR+1613&a=rt
235.23,Hyades Sector JM-V c2-4,,,103,,,,3,Woyeru / 2,3 rings,https://edtools.cc/pve?s=Woyeru&a=rt
235.92,HIP 11796,,,"1,258",2,,,1,Any Minurok / 2,No rings,https://edtools.cc/pve?s=Any+Minurok&a=rt
236.24,4 Camelopardalis,352,"3,483","3,441",2,,,5,San Guazurs / 2,1 ring,https://edtools.cc/pve?s=San+Guazurs&a=rt
237.34,Kpannon Di,,"1,629",,1,,,4,Adensu / 2,2 rings,https://edtools.cc/pve?s=Adensu&a=rt
237.68,Okond,,134,134,4,,,3,Any Minurok / 2,No rings,https://edtools.cc/pve?s=Any+Minurok&a=rt
238.14,HD 13931,,"2,568",842,4,,,3,Bean / 2,No rings,https://edtools.cc/pve?s=Bean&a=rt
238.59,Ross 376,,"1,072",356,3,,,4,Wolf 1241 / 2,5 rings,https://edtools.cc/pve?s=Wolf+1241&a=rt
238.97,Hyades Sector AV-O b6-1,,,64,,,,7,HR 1613 / 3,9 rings,https://edtools.cc/pve?s=HR+1613&a=rt
239.06,Comane,,296,296,3,,,4,HIP 19007 / 2,No rings,https://edtools.cc/pve?s=HIP+19007&a=rt
240.76,1 Geminorum,,"2,571","3,419",3,,,4,Varrala / 2,No rings,https://edtools.cc/pve?s=Varrala&a=rt
241.45,Koria,,"5,242",494,,,,7,HIP 32364 / 2,No rings,https://edtools.cc/pve?s=HIP+32364&a=rt
242.18,San Guojin,,"2,295","4,208",1,,,5,Adensu / 2,2 rings,https://edtools.cc/pve?s=Adensu&a=rt
242.42,Lalumaskab,96,21,21,2,,,5,Arabari / 2,1 ring,https://edtools.cc/pve?s=Arabari&a=rt
242.68,Matuveltan,,"1,986","2,017",4,,,3,Arabari / 2,1 ring,https://edtools.cc/pve?s=Arabari&a=rt
242.89,Djaujang,,303,303,1,,,6,Farowalan / 2,1 ring,https://edtools.cc/pve?s=Farowalan&a=rt
244.03,HR 1978,"1,626","2,121",301,1,,,6,Oluri / 2,No rings,https://edtools.cc/pve?s=Oluri&a=rt
244.55,Arakang,,29,"172,908",1,,,6,Bhava / 3,No rings,https://edtools.cc/pve?s=Bhava&a=rt
244.65,Sint Hozho,,"10,048","11,146",,,,7,Nuitati / 2,1 ring,https://edtools.cc/pve?s=Nuitati&a=rt
248.02,Bellite,,"2,578",,3,,,3,Bean / 2,No rings,https://edtools.cc/pve?s=Bean&a=rt
248.55,Gucumadhyas,335,486,485,1,,,5,Nan Yamanes / 3,3 rings,https://edtools.cc/pve?s=Nan+Yamanes&a=rt
249.17,Clionenses,"2,031","1,967","1,980",1,,,6,Nuitati / 2,1 ring,https://edtools.cc/pve?s=Nuitati&a=rt
249.22,Arietis Sector KC-V c2-20,,,78,,,,2,Ahemez / 2,4 rings,https://edtools.cc/pve?s=Ahemez&a=rt
178.48,Lyncis Sector PD-T b3-2,,,369,2,,,2,Chuencani / 2,3 rings,https://edtools.cc/pve?s=Chuencani&a=rt
179.02,Hyades Sector DR-V c2-13,,,772,,,,4,Yen K'an / 2,No rings,https://edtools.cc/pve?s=Yen+K%27an&a=rt
179.53,HIP 16404,,,405,,,,2,Chuencani / 2,3 rings,https://edtools.cc/pve?s=Chuencani&a=rt
179.54,66 Andromedae,,,297,2,,,3,HIP 12040 / 2,2 rings,https://edtools.cc/pve?s=HIP+12040&a=rt
186.82,Hyades Sector DR-V c2-3,,,411,,,,3,Yen K'an / 2,No rings,https://edtools.cc/pve?s=Yen+K%27an&a=rt
188.33,Bajie,655,,"49,217",1,,,6,HIP 12040 / 2,2 rings,https://edtools.cc/pve?s=HIP+12040&a=rt
189.18,HIP 11796,,,"1,258",2,,,1,Any Minurok / 2,No rings,https://edtools.cc/pve?s=Any+Minurok&a=rt
191.27,Col 285 Sector RE-P c6-8,,,136,,,,3,HIP 112970 / 2,No rings,https://edtools.cc/pve?s=HIP+112970&a=rt
194.99,Arietis Sector DB-X c1-4,,,569,,,,6,HIP 7705 / 2,2 rings,https://edtools.cc/pve?s=HIP+7705&a=rt
195.32,HIP 7924,,"171,246","2,128",,,,7,HIP 7705 / 2,2 rings,https://edtools.cc/pve?s=HIP+7705&a=rt
195.62,Arietis Sector DL-Y d79,,,11,1,,,6,HIP 10245 / 3,No rings,https://edtools.cc/pve?s=HIP+10245&a=rt
198.78,Okond,,134,134,4,,,3,Any Minurok / 2,No rings,https://edtools.cc/pve?s=Any+Minurok&a=rt
199.15,Lalumaskab,96,21,21,2,,,5,Arabari / 2,1 ring,https://edtools.cc/pve?s=Arabari&a=rt
199.61,Col 285 Sector RE-P c6-5,,,"1,294",,,,3,HIP 112970 / 2,No rings,https://edtools.cc/pve?s=HIP+112970&a=rt
200.94,Matuveltan,,"1,986","2,017",4,,,3,Arabari / 2,1 ring,https://edtools.cc/pve?s=Arabari&a=rt
201.60,Kwer,,19,18,3,,,4,San Guazurs / 2,1 ring,https://edtools.cc/pve?s=San+Guazurs&a=rt
203.65,4 Camelopardalis,352,"3,483","3,441",2,,,5,San Guazurs / 2,1 ring,https://edtools.cc/pve?s=San+Guazurs&a=rt
205.45,Kurutis,"5,013",,,2,,,4,Bassa / 2,No rings,https://edtools.cc/pve?s=Bassa&a=rt
207.84,HIP 10556,,"14,574",,2,,,5,HIP 10245 / 3,No rings,https://edtools.cc/pve?s=HIP+10245&a=rt
208.02,Col 285 Sector JJ-E b13-4,,,167,1,,,2,31 Cephei / 2,9 rings,https://edtools.cc/pve?s=31+Cephei&a=rt
208.41,HIP 10079,"1,078","2,094","2,088",,,,5,HIP 10245 / 3,No rings,https://edtools.cc/pve?s=HIP+10245&a=rt
209.52,HIP 1026,,,"4,378",,,,7,Pegasi Sector BV-X b1-8 / 2,2 rings,https://edtools.cc/pve?s=Pegasi+Sector+BV-X+b1-8&a=rt
211.56,Aymarahuara,,178,"3,060",1,,,3,31 Cephei / 2,9 rings,https://edtools.cc/pve?s=31+Cephei&a=rt
211.67,31 Cephei,,328,643,1,,,6,Aymarahuara / 2,No rings,https://edtools.cc/pve?s=Aymarahuara&a=rt
212.95,Arine,30,5,10,1,,,4,Aymarahuara / 2,No rings,https://edtools.cc/pve?s=Aymarahuara&a=rt
213.34,Mooramba,,263,,,,,7,Daik / 2,1 ring,https://edtools.cc/pve?s=Daik&a=rt
213.85,Unjangen,200,23,"1,017",1,,,5,Leng Dana / 2,3 rings,https://edtools.cc/pve?s=Leng+Dana&a=rt
215.33,Alkondul,105,,,1,,,6,Leng Dana / 2,3 rings,https://edtools.cc/pve?s=Leng+Dana&a=rt
217.42,Wolf 202,,,78,2,,,1,Daik / 2,1 ring,https://edtools.cc/pve?s=Daik&a=rt
217.92,HIP 14134,,"1,499",,2,,,4,Bassa / 2,No rings,https://edtools.cc/pve?s=Bassa&a=rt
218.50,Enets,,789,540,2,,,5,Jeidenannsa / 2,3 rings,https://edtools.cc/pve?s=Jeidenannsa&a=rt
218.87,Latuca,,170,,1,,,6,Guroji / 2,No rings,https://edtools.cc/pve?s=Guroji&a=rt
220.06,Mu Kin,,604,"1,598",,,,5,Pegasi Sector BQ-Y d94 / 2,No rings,https://edtools.cc/pve?s=Pegasi+Sector+BQ-Y+d94&a=rt
220.13,Silvandumal,,340,340,5,,,2,HIP 3509 / 2,No rings,https://edtools.cc/pve?s=HIP+3509&a=rt
220.65,Pokoto,"35,539",,"35,386",1,,,6,Pegasi Sector BV-X b1-8 / 2,2 rings,https://edtools.cc/pve?s=Pegasi+Sector+BV-X+b1-8&a=rt
220.84,Yenasaki,,"3,979","3,979",2,,,5,Basing / 2,No rings,https://edtools.cc/pve?s=Basing&a=rt
221.07,Paestae,"69,513",,554,1,,,6,39 Arietis / 2,No rings,https://edtools.cc/pve?s=39+Arietis&a=rt
223.96,Pauang,14,19,14,,,,7,Jeidenannsa / 2,3 rings,https://edtools.cc/pve?s=Jeidenannsa&a=rt
224.06,HD 13931,,"2,568",842,4,,,3,Bean / 2,No rings,https://edtools.cc/pve?s=Bean&a=rt
224.90,Pegasi Sector BQ-Y d72,,,259,,,,7,Pegasi Sector BQ-Y d94 / 2,No rings,https://edtools.cc/pve?s=Pegasi+Sector+BQ-Y+d94&a=rt
225.38,Col 285 Sector TP-N c7-8,,,"2,178",,,,4,Gilyan / 2,No rings,https://edtools.cc/pve?s=Gilyan&a=rt
225.84,HIP 10322,"3,227",,"3,305",2,,,5,Guroji / 2,No rings,https://edtools.cc/pve?s=Guroji&a=rt
225.98,Jetes,78,216,216,1,,,6,Awngtei / 2,No rings,https://edtools.cc/pve?s=Awngtei&a=rt
226.26,Cephei Sector CQ-Y b2,,,220,4,,,3,HIP 3509 / 2,No rings,https://edtools.cc/pve?s=HIP+3509&a=rt
226.80,Raijuhan,,668,915,2,,,3,Apademak / 2,No rings,https://edtools.cc/pve?s=Apademak&a=rt
227.21,Wunitola,408,,408,2,,,5,Basing / 2,No rings,https://edtools.cc/pve?s=Basing&a=rt
228.66,Intener,,44,44,2,,,4,Apademak / 2,No rings,https://edtools.cc/pve?s=Apademak&a=rt
229.10,Ancermoten,408,407,407,1,,,6,39 Arietis / 2,No rings,https://edtools.cc/pve?s=39+Arietis&a=rt
230.50,Gluskabiku,231,,,4,,,3,Awngtei / 2,No rings,https://edtools.cc/pve?s=Awngtei&a=rt
231.02,Pegasi Sector FL-X b1-2,,,22,,,,4,Antal / 3,No rings,https://edtools.cc/pve?s=Antal&a=rt
231.89,Nu Kuan,439,618,796,1,,,6,Allo / 2,1 ring,https://edtools.cc/pve?s=Allo&a=rt
232.22,Perci Bud,,"4,036",,3,,,3,HIP 14532 / 2,No rings,https://edtools.cc/pve?s=HIP+14532&a=rt
232.90,Kpannon Di,,"1,629",,1,,,4,Adensu / 2,2 rings,https://edtools.cc/pve?s=Adensu&a=rt
233.24,Tsongoris,24,16,24,2,,,5,Bidio / 2,No rings,https://edtools.cc/pve?s=Bidio&a=rt
233.30,Pegasi Sector BQ-Y d75,,,264,1,,,3,HR 8666 / 2,7 rings,https://edtools.cc/pve?s=HR+8666&a=rt
233.33,Pegasi Sector CQ-Y d106,,,629,1,,,2,Antal / 3,No rings,https://edtools.cc/pve?s=Antal&a=rt
235.33,Pegasi Sector CV-Y c22,,,75,1,,,4,Antal / 3,No rings,https://edtools.cc/pve?s=Antal&a=rt
235.46,Pleiades Sector HR-W d1-41,599,,599,,,,4,Maia / 11,"haz,high,reg,low",https://edtools.cc/pve?s=Maia&a=rt
235.89,Pleiades Sector KC-V c2-11,321,,,,,,4,Maia / 11,"haz,high,reg,low",https://edtools.cc/pve?s=Maia&a=rt
236.13,Ross 335,,,"3,676",1,,,2,Kurui Xee / 2,No rings,https://edtools.cc/pve?s=Kurui+Xee&a=rt
236.19,Savantzil,5,9,5,2,,,5,HIP 14532 / 2,No rings,https://edtools.cc/pve?s=HIP+14532&a=rt
236.54,Goplatrugba,,"1,308","2,358",2,,,3,Payatamu / 3,No rings,https://edtools.cc/pve?s=Payatamu&a=rt
236.68,HIP 94126,,,"2,863",2,,,3,Gilyan / 2,No rings,https://edtools.cc/pve?s=Gilyan&a=rt
237.36,Bellite,,"2,578",,3,,,3,Bean / 2,No rings,https://edtools.cc/pve?s=Bean&a=rt
237.40,San Guojin,,"2,295","4,208",1,,,5,Adensu / 2,2 rings,https://edtools.cc/pve?s=Adensu&a=rt
238.07,Wilastsi,,342,"14,124",4,,,3,Bidio / 2,No rings,https://edtools.cc/pve?s=Bidio&a=rt
238.18,Carii,,309,"1,339",2,,,5,Arebelatja / 2,5 rings,https://edtools.cc/pve?s=Arebelatja&a=rt
238.57,HIP 116360,,649,461,,,,6,Pegasi Sector BQ-Y d71 / 2,No rings,https://edtools.cc/pve?s=Pegasi+Sector+BQ-Y+d71&a=rt
239.55,Malgal,,35,109,2,,,3,Allo / 2,1 ring,https://edtools.cc/pve?s=Allo&a=rt
239.58,Carnates,,316,814,2,,,5,Kurui Xee / 2,No rings,https://edtools.cc/pve?s=Kurui+Xee&a=rt
239.77,HIP 112042,,881,882,2,,,4,HR 8666 / 2,7 rings,https://edtools.cc/pve?s=HR+8666&a=rt
239.78,Pleiades Sector HR-W d1-74,797,,,,,1,5,Maia / 11,"haz,high,reg,low",https://edtools.cc/pve?s=Maia&a=rt
239.82,Celaeno,46,,,,,,4,Maia / 11,"haz,high,reg,low",https://edtools.cc/pve?s=Maia&a=rt
240.46,Nu Wanga,100,186,100,1,,,6,Arebelatja / 2,5 rings,https://edtools.cc/pve?s=Arebelatja&a=rt
240.61,Saptara,,"14,707",,,,,5,HIP 32135 / 2,4 rings,https://edtools.cc/pve?s=HIP+32135&a=rt
240.79,Guan Zaihe,893,,86,2,,,4,Gliese 9119 / 2,3 rings,https://edtools.cc/pve?s=Gliese+9119&a=rt
240.97,Col 285 Sector QJ-P c6-16,,,"5,080",1,,,6,Malameni / 2,No rings,https://edtools.cc/pve?s=Malameni&a=rt
241.20,Attada,,593,,,,,5,Pegasi Sector BQ-Y d71 / 2,No rings,https://edtools.cc/pve?s=Pegasi+Sector+BQ-Y+d71&a=rt
241.37,Pleiades Sector HR-W d1-79,804,,,,,,,Maia / 11,"haz,high,reg,low",https://edtools.cc/pve?s=Maia&a=rt
241.43,Sint Hozho,,"10,048","11,146",,,,7,Nuitati / 2,1 ring,https://edtools.cc/pve?s=Nuitati&a=rt
242.35,Cephei Sector DL-Y c16,,,70,4,,,3,Payatamu / 3,No rings,https://edtools.cc/pve?s=Payatamu&a=rt
243.11,Xibe,265,939,375,1,,,6,Keiadjara / 2,2 rings,https://edtools.cc/pve?s=Keiadjara&a=rt
243.32,Dhakhan,,"13,465","14,511",1,,,6,Kunab / 2,No rings,https://edtools.cc/pve?s=Kunab&a=rt
243.45,Kolabiety,"16,665",,,1,,,5,Sebeleni / 2,No rings,https://edtools.cc/pve?s=Sebeleni&a=rt
243.51,Col 285 Sector QJ-P c6-15,,,59,1,,,6,Malameni / 2,No rings,https://edtools.cc/pve?s=Malameni&a=rt
243.61,Merope,"3,003",,"2,094",,,,5,Maia / 11,"haz,high,reg,low",https://edtools.cc/pve?s=Maia&a=rt
243.72,HIP 46298,"1,653",,"1,229",1,,,6,Nujemana / 2,No rings,https://edtools.cc/pve?s=Nujemana&a=rt
243.75,HIP 109479,150,221,128,2,,,5,Nemepawe / 2,No rings,https://edtools.cc/pve?s=Nemepawe&a=rt
243.80,Pleiades Sector DL-Y d65,790,,,,,1,4,Maia / 11,"haz,high,reg,low",https://edtools.cc/pve?s=Maia&a=rt
244.38,Pleione,"1,072",,"2,179",,,,7,Maia / 11,"haz,high,reg,low",https://edtools.cc/pve?s=Maia&a=rt
244.39,Semakhmets,81,112,112,2,,,5,Kunab / 2,No rings,https://edtools.cc/pve?s=Kunab&a=rt
244.87,Epsilon Andromedae,,653,"2,019",1,,,5,HIP 2824 / 2,No rings,https://edtools.cc/pve?s=HIP+2824&a=rt
245.02,Atlas,"12,101",,,,,,5,Maia / 11,"haz,high,reg,low",https://edtools.cc/pve?s=Maia&a=rt
245.40,Pleiades Sector PD-S b4-0,654,,"18,605",,,,6,Maia / 11,"haz,high,reg,low",https://edtools.cc/pve?s=Maia&a=rt
245.67,HIP 48854,,,"3,504",2,,,5,Nujemana / 2,No rings,https://edtools.cc/pve?s=Nujemana&a=rt
245.71,Kume,,"2,154","2,745",4,,,3,Payatamu / 3,No rings,https://edtools.cc/pve?s=Payatamu&a=rt
247.07,Krivasho,,79,"4,366",1,,,4,Ahemez / 2,4 rings,https://edtools.cc/pve?s=Ahemez&a=rt
247.14,Irulis,,21,65,3,,,4,Mistana / 2,1 ring,https://edtools.cc/pve?s=Mistana&a=rt
247.47,Wiyotset,,"36,562","38,698",1,,,5,HIP 2824 / 2,No rings,https://edtools.cc/pve?s=HIP+2824&a=rt
247.50,Vagho,14,48,14,3,,,4,Mistana / 2,1 ring,https://edtools.cc/pve?s=Mistana&a=rt
247.60,Arietis Sector KC-V c2-20,,,78,,,,2,Ahemez / 2,4 rings,https://edtools.cc/pve?s=Ahemez&a=rt
247.62,Paesan,180,35,35,2,,,4,Hreidmarda / 2,No rings,https://edtools.cc/pve?s=Hreidmarda&a=rt
247.63,Vitri,502,902,"2,586",1,,,5,Maroi / 2,1 ring,https://edtools.cc/pve?s=Maroi&a=rt
247.74,Nauni,18,,18,1,,,6,HIP 17305 / 2,2 rings,https://edtools.cc/pve?s=HIP+17305&a=rt
247.89,40 Draconis,"35,868","35,838",303,2,,,5,Ngbatara / 2,No rings,https://edtools.cc/pve?s=Ngbatara&a=rt
248.11,36 Persei,484,"3,247",837,3,,,4,Wolf 186 / 2,No rings,https://edtools.cc/pve?s=Wolf+186&a=rt
248.28,Jataya,62,85,62,1,,,4,HIP 17305 / 2,2 rings,https://edtools.cc/pve?s=HIP+17305&a=rt
248.52,HIP 20528,,"380,380","3,892",,,,6,Sebeleni / 2,No rings,https://edtools.cc/pve?s=Sebeleni&a=rt
248.58,Lachazi,,333,"3,444",1,,,5,Keiadjara / 2,2 rings,https://edtools.cc/pve?s=Keiadjara&a=rt
248.61,Aluru,,54,546,1,,,4,Gliese 9119 / 2,3 rings,https://edtools.cc/pve?s=Gliese+9119&a=rt
248.88,Wanggu,,25,25,3,,,4,Nemepawe / 2,No rings,https://edtools.cc/pve?s=Nemepawe&a=rt
249.31,Clionenses,"2,031","1,967","1,980",1,,,6,Nuitati / 2,1 ring,https://edtools.cc/pve?s=Nuitati&a=rt
249.90,HR 1172,"2,250",,,,,,,Maia / 11,"haz,high,reg,low",https://edtools.cc/pve?s=Maia&a=rt
10.86,Pleiades Sector HR-W d1-41,599,,599,,,,4,Maia / 11,"haz,high,reg,low",https://edtools.cc/pve?s=Maia&a=rt
12.89,Celaeno,46,,,,,,4,Maia / 11,"haz,high,reg,low",https://edtools.cc/pve?s=Maia&a=rt
16.28,Merope,"3,003",,"2,094",,,,5,Maia / 11,"haz,high,reg,low",https://edtools.cc/pve?s=Maia&a=rt
16.62,Pleiades Sector KC-V c2-11,321,,,,,,4,Maia / 11,"haz,high,reg,low",https://edtools.cc/pve?s=Maia&a=rt
17.29,Pleiades Sector PD-S b4-0,654,,"18,605",,,,6,Maia / 11,"haz,high,reg,low",https://edtools.cc/pve?s=Maia&a=rt
18.52,Pleiades Sector HR-W d1-79,804,,,,,,,Maia / 11,"haz,high,reg,low",https://edtools.cc/pve?s=Maia&a=rt
19.33,Pleione,"1,072",,"2,179",,,,7,Maia / 11,"haz,high,reg,low",https://edtools.cc/pve?s=Maia&a=rt
19.73,Atlas,"12,101",,,,,,5,Maia / 11,"haz,high,reg,low",https://edtools.cc/pve?s=Maia&a=rt
22.73,Pleiades Sector HR-W d1-74,797,,,,,1,5,Maia / 11,"haz,high,reg,low",https://edtools.cc/pve?s=Maia&a=rt
23.14,HR 1172,"2,250",,,,,,,Maia / 11,"haz,high,reg,low",https://edtools.cc/pve?s=Maia&a=rt
23.67,Pleiades Sector DL-Y d65,790,,,,,1,4,Maia / 11,"haz,high,reg,low",https://edtools.cc/pve?s=Maia&a=rt
184.65,Nauni,18,,18,1,,,6,HIP 17305 / 2,2 rings,https://edtools.cc/pve?s=HIP+17305&a=rt
193.27,Jataya,62,85,62,1,,,4,HIP 17305 / 2,2 rings,https://edtools.cc/pve?s=HIP+17305&a=rt
193.56,Jolagro,,553,778,,,,4,Bletae / 2,No rings,https://edtools.cc/pve?s=Bletae&a=rt
196.18,Paestae,"69,513",,554,1,,,6,39 Arietis / 2,No rings,https://edtools.cc/pve?s=39+Arietis&a=rt
196.89,HIP 16405,"4,111","3,947","3,990",2,,,5,Hreidmarda / 2,No rings,https://edtools.cc/pve?s=Hreidmarda&a=rt
197.02,Obamumbo,10,17,10,2,,,5,Gaezatorix / 2,1 ring,https://edtools.cc/pve?s=Gaezatorix&a=rt
198.16,HIP 20169,,,"2,736",,,,4,Bletae / 2,No rings,https://edtools.cc/pve?s=Bletae&a=rt
200.59,Paesan,180,35,35,2,,,4,Hreidmarda / 2,No rings,https://edtools.cc/pve?s=Hreidmarda&a=rt
201.32,HIP 20528,,"380,380","3,892",,,,6,Sebeleni / 2,No rings,https://edtools.cc/pve?s=Sebeleni&a=rt
204.57,Lei Hsini,,"9,513",,1,,,4,97 i Tauri / 2,4 rings,https://edtools.cc/pve?s=97+i+Tauri&a=rt
205.85,Scythia,,"270,488",,2,,,5,Gaezatorix / 2,1 ring,https://edtools.cc/pve?s=Gaezatorix&a=rt
208.34,Ancermoten,408,407,407,1,,,6,39 Arietis / 2,No rings,https://edtools.cc/pve?s=39+Arietis&a=rt
209.22,Hyades Sector DR-V c2-13,,,772,,,,4,Yen K'an / 2,No rings,https://edtools.cc/pve?s=Yen+K%27an&a=rt
209.25,Kolabiety,"16,665",,,1,,,5,Sebeleni / 2,No rings,https://edtools.cc/pve?s=Sebeleni&a=rt
209.69,Hyades Sector DR-V c2-3,,,411,,,,3,Yen K'an / 2,No rings,https://edtools.cc/pve?s=Yen+K%27an&a=rt
210.78,Khasia,,100,99,5,,,2,Wakandiini / 3,No rings,https://edtools.cc/pve?s=Wakandiini&a=rt
211.56,Carnates,,316,814,2,,,5,Kurui Xee / 2,No rings,https://edtools.cc/pve?s=Kurui+Xee&a=rt
211.94,Pauang,14,19,14,,,,7,Jeidenannsa / 2,3 rings,https://edtools.cc/pve?s=Jeidenannsa&a=rt
213.48,Gciriko,67,113,113,1,,,6,Apoya / 2,No rings,https://edtools.cc/pve?s=Apoya&a=rt
213.70,Kurutis,"5,013",,,2,,,4,Bassa / 2,No rings,https://edtools.cc/pve?s=Bassa&a=rt
214.12,HIP 22496,,"2,090","2,128",1,,,6,97 i Tauri / 2,4 rings,https://edtools.cc/pve?s=97+i+Tauri&a=rt
214.33,Hraean,,291,,,,,5,HIP 23277 / 2,No rings,https://edtools.cc/pve?s=HIP+23277&a=rt
214.54,Babaradhbh,156,,,3,,,4,Wakandiini / 3,No rings,https://edtools.cc/pve?s=Wakandiini&a=rt
215.09,Vitri,502,902,"2,586",1,,,5,Maroi / 2,1 ring,https://edtools.cc/pve?s=Maroi&a=rt
215.78,Enets,,789,540,2,,,5,Jeidenannsa / 2,3 rings,https://edtools.cc/pve?s=Jeidenannsa&a=rt
216.17,Hyades Sector KH-V c2-14,,,"3,809",,,,5,HIP 23277 / 2,No rings,https://edtools.cc/pve?s=HIP+23277&a=rt
217.36,Mooramba,,263,,,,,7,Daik / 2,1 ring,https://edtools.cc/pve?s=Daik&a=rt
218.36,Ross 335,,,"3,676",1,,,2,Kurui Xee / 2,No rings,https://edtools.cc/pve?s=Kurui+Xee&a=rt
218.55,Hyades Sector PI-T c3-12,,,"1,060",2,,,5,Apoya / 2,No rings,https://edtools.cc/pve?s=Apoya&a=rt
219.00,Wolf 202,,,78,2,,,1,Daik / 2,1 ring,https://edtools.cc/pve?s=Daik&a=rt
221.05,HIP 15875,,"1,302",,3,,,4,HIP 15304 / 2,7 rings,https://edtools.cc/pve?s=HIP+15304&a=rt
221.56,HIP 16529,"49,286",,,2,,,5,Wakandiini / 3,No rings,https://edtools.cc/pve?s=Wakandiini&a=rt
223.24,HIP 14134,,"1,499",,2,,,4,Bassa / 2,No rings,https://edtools.cc/pve?s=Bassa&a=rt
224.27,Hyades Sector PI-T c3-14,,,728,3,,,3,Siusi / 2,No rings,https://edtools.cc/pve?s=Siusi&a=rt
224.80,Raijuhan,,668,915,2,,,3,Apademak / 2,No rings,https://edtools.cc/pve?s=Apademak&a=rt
224.95,Yenasaki,,"3,979","3,979",2,,,5,Basing / 2,No rings,https://edtools.cc/pve?s=Basing&a=rt
225.16,66 Andromedae,,,297,2,,,3,HIP 12040 / 2,2 rings,https://edtools.cc/pve?s=HIP+12040&a=rt
226.89,Guan Zaihe,893,,86,2,,,4,Gliese 9119 / 2,3 rings,https://edtools.cc/pve?s=Gliese+9119&a=rt
227.78,Aluru,,54,546,1,,,4,Gliese 9119 / 2,3 rings,https://edtools.cc/pve?s=Gliese+9119&a=rt
227.81,HIP 27155,"1,543","10,370","1,547",2,,,5,Maroi / 2,1 ring,https://edtools.cc/pve?s=Maroi&a=rt
228.36,Kraua,,270,,2,,,5,Siusi / 2,No rings,https://edtools.cc/pve?s=Siusi&a=rt
229.33,Perci Bud,,"4,036",,3,,,3,HIP 14532 / 2,No rings,https://edtools.cc/pve?s=HIP+14532&a=rt
229.97,Wunitola,408,,408,2,,,5,Basing / 2,No rings,https://edtools.cc/pve?s=Basing&a=rt
230.20,Opetes,"135,963","1,292","1,286",,,,7,HIP 15304 / 2,7 rings,https://edtools.cc/pve?s=HIP+15304&a=rt
230.85,HIP 10079,"1,078","2,094","2,088",,,,5,HIP 10245 / 3,No rings,https://edtools.cc/pve?s=HIP+10245&a=rt
232.11,Intener,,44,44,2,,,4,Apademak / 2,No rings,https://edtools.cc/pve?s=Apademak&a=rt
233.49,Kharwa,"1,324",,,1,,,6,Wadjang / 2,2 rings,https://edtools.cc/pve?s=Wadjang&a=rt
233.63,Kwer,,19,18,3,,,4,San Guazurs / 2,1 ring,https://edtools.cc/pve?s=San+Guazurs&a=rt
233.74,Bamarakw,,"8,775","8,515",2,,,5,Wadjang / 2,2 rings,https://edtools.cc/pve?s=Wadjang&a=rt
233.89,Arietis Sector DL-Y d79,,,11,1,,,6,HIP 10245 / 3,No rings,https://edtools.cc/pve?s=HIP+10245&a=rt
235.10,HIP 7924,,"171,246","2,128",,,,7,HIP 7705 / 2,2 rings,https://edtools.cc/pve?s=HIP+7705&a=rt
235.25,Bajie,655,,"49,217",1,,,6,HIP 12040 / 2,2 rings,https://edtools.cc/pve?s=HIP+12040&a=rt
235.99,HIP 18388,,,269,4,,,2,HIP 19007 / 2,No rings,https://edtools.cc/pve?s=HIP+19007&a=rt
236.11,Arietis Sector DB-X c1-4,,,569,,,,6,HIP 7705 / 2,2 rings,https://edtools.cc/pve?s=HIP+7705&a=rt
236.37,Tarbalu,,408,416,4,,,3,Varrala / 2,No rings,https://edtools.cc/pve?s=Varrala&a=rt
236.49,Ebor,10,17,10,3,,,4,Wolf 1241 / 2,5 rings,https://edtools.cc/pve?s=Wolf+1241&a=rt
237.06,HIP 10556,,"14,574",,2,,,5,HIP 10245 / 3,No rings,https://edtools.cc/pve?s=HIP+10245&a=rt
238.40,Hyades Sector JM-V c2-5,,,"4,137",,,,4,Woyeru / 2,3 rings,https://edtools.cc/pve?s=Woyeru&a=rt
238.98,HIP 23575,"2,636","290,853","2,006",,,,7,HR 1613 / 3,9 rings,https://edtools.cc/pve?s=HR+1613&a=rt
239.05,HIP 15062,,"1,163","1,152",3,,,4,Balante / 2,No rings,https://edtools.cc/pve?s=Balante&a=rt
239.14,Bhisma,,"133,674",,2,,,5,HR 1613 / 3,9 rings,https://edtools.cc/pve?s=HR+1613&a=rt
239.39,Savantzil,5,9,5,2,,,5,HIP 14532 / 2,No rings,https://edtools.cc/pve?s=HIP+14532&a=rt
